player,daritsu,shiai,dasekisuu,dasuu,annda,honnruida,datenn,tokutenn,niruida,sannruida,ruida,tourui_fail,tourui,sikyuu,deadball,sannshinn,gida,heisatsuda,shutsuruiritsu,tyuodaritsu,ops,rc,noi,gpa,rc27,isop,isod,xr,xr27,babip,seca,ta,psn,bbk,team,year
今岡誠,0.13,13.0,26.0,23.0,3.0,0.0,1.0,2.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,0.2,0.174,0.374,0.5,0.258,0.133,0.64,0.043,0.07,0.62,0.8,0.143,0.13,0.3,0.0,0.67,ロッテ,2010
サブロー,0.25,1.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.25,0.5,0.75,0.5,0.417,0.238,4.46,0.25,0.0,0.43,3.87,1.0,0.25,0.667,0.0,0.0,ロッテ,2010
荻野貴司,0.287,78.0,351.0,317.0,91.0,2.0,25.0,52.0,15.0,3.0,118.0,6.0,20.0,13.0,9.0,25.0,9.0,6.0,0.33,0.372,0.703,41.01,0.454,0.242,4.43,0.085,0.043,40.17,4.34,0.295,0.17,0.647,3.64,0.52,ロッテ,2010
堀幸一,0.259,56.0,121.0,112.0,29.0,4.0,17.0,13.0,7.0,0.0,48.0,0.0,0.0,5.0,1.0,31.0,2.0,4.0,0.294,0.429,0.723,13.05,0.437,0.239,3.92,0.17,0.035,13.0,3.9,0.313,0.214,0.621,0.0,0.16,ロッテ,2010
井口資仁,0.244,65.0,144.0,123.0,30.0,2.0,15.0,9.0,7.0,0.0,43.0,0.0,0.0,19.0,0.0,27.0,0.0,4.0,0.34,0.35,0.69,15.12,0.457,0.241,4.12,0.106,0.096,15.46,4.22,0.292,0.26,0.639,0.0,0.7,ロッテ,2010
西岡剛,0.346,144.0,692.0,596.0,206.0,11.0,59.0,121.0,32.0,8.0,287.0,11.0,22.0,79.0,4.0,96.0,8.0,8.0,0.423,0.482,0.904,122.07,0.583,0.311,7.81,0.136,0.077,116.61,7.46,0.388,0.287,0.932,14.67,0.82,ロッテ,2010
今江敏晃,0.287,98.0,400.0,373.0,107.0,1.0,38.0,40.0,18.0,4.0,136.0,2.0,2.0,16.0,9.0,35.0,0.0,17.0,0.33,0.365,0.695,40.52,0.452,0.24,3.81,0.078,0.043,38.92,3.66,0.313,0.121,0.565,1.33,0.46,ロッテ,2010
福浦和也,0.21,82.0,196.0,181.0,38.0,1.0,11.0,6.0,4.0,0.0,45.0,0.0,0.0,10.0,2.0,34.0,0.0,4.0,0.256,0.249,0.505,9.94,0.339,0.178,1.8,0.039,0.046,10.93,1.98,0.25,0.094,0.388,0.0,0.29,ロッテ,2010
大松尚逸,0.224,18.0,53.0,49.0,11.0,0.0,5.0,5.0,3.0,0.0,14.0,0.0,0.0,3.0,0.0,12.0,0.0,2.0,0.264,0.286,0.55,3.06,0.359,0.19,2.02,0.061,0.04,3.29,2.17,0.289,0.122,0.425,0.0,0.25,ロッテ,2010
塀内久雄,0.188,36.0,36.0,32.0,6.0,0.0,2.0,4.0,2.0,0.0,8.0,0.0,0.0,2.0,0.0,9.0,2.0,1.0,0.235,0.25,0.485,1.42,0.319,0.168,1.32,0.063,0.048,1.42,1.32,0.24,0.125,0.37,0.0,0.22,ロッテ,2010
